force, startX, endX, deltaX, deltaXDeg
8300, -109, 2070, 2179, 98.068207
8350, -94, 2065, 2159, 97.189285
8400, -120, 2103, 2223, 100.073242
8450, -124, 2311, 2435, 109.631493
8500, -48, 2552, 2600, 117.074844
8550, -29, 2527, 2556, 115.083542
8600, -126, 2517, 2643, 118.997482
8650, -99, 2371, 2470, 111.155869
8700, -74, 2376, 2450, 110.290688
8750, -99, 2520, 2619, 117.885101
8800, -153, 2366, 2519, 113.408104
8850, -161, 2289, 2450, 110.290688
8900, -94, 2543, 2637, 118.695351
8950, -146, 2131, 2277, 102.476540
9000, -118, 2295, 2413, 108.642708
9050, -112, 2672, 2784, 125.300987
9100, -65, 2323, 2388, 107.516594
9150, -81, 2402, 2483, 111.773865
9200, -74, 2769, 2843, 127.978943
9250, -138, 2727, 2865, 128.967728
9300, -191, 2239, 2430, 109.398033
9350, -197, 2746, 2943, 132.469666
9400, 219, 2740, 2521, 113.421837
9450, -112, 2918, 3030, 136.397339
9500, -14, 2832, 2846, 128.116272
9550, -46, 2535, 2581, 116.209656
9600, -88, 2595, 2683, 120.755325
9650, -110, 2573, 2683, 120.796524
9700, -116, 2468, 2584, 116.346992
9750, -100, 2956, 3056, 137.550934
9800, -142, 2575, 2717, 122.293434
9850, -78, 2740, 2818, 126.852829
9900, -191, 2605, 2796, 125.864044
9950, -32, 3211, 3243, 145.996796
10000, -92, 2686, 2778, 125.026321
